#name,t_bump,t_bump_err,prob_bump,prob_shoulder,n_points
SN2006D,17.30,2.38,0.01,0.99,8
SN2005ms,27.70,1.24,0.00,1.00,2
SN2008gl,19.30,4.96,0.12,0.88,5
SN2008ar,21.90,3.09,0.00,1.00,5
SN2007fs,nan,nan,0.00,0.00,2
SN2008gb,19.50,1.78,0.00,1.00,6
SN2006N,19.30,0.24,0.00,1.00,10
SN2003W,20.40,0.64,0.46,0.54,3
SN2007jg,21.20,1.10,0.00,1.00,10
SN2006gr,31.40,3.04,0.00,1.00,4
SN2007ir,36.70,1.07,0.08,0.80,4
SN2007rx,14.30,4.21,0.00,0.99,7
SN2007ss,18.60,0.58,0.44,0.56,5
SN2006ac,16.80,0.36,0.92,0.08,8
SN2006cc,23.10,0.95,0.88,0.12,6
snf20080522000,20.40,0.22,1.00,0.00,4
snf20080522011,22.30,0.38,0.27,0.73,9
SN2001V,22.50,0.51,0.83,0.17,7
SN2007aj,21.10,0.49,0.00,1.00,10
SN2003kf,20.70,0.36,1.00,0.00,5
SN2009ig,22.80,1.14,0.46,0.54,9
SN2007ob,23.70,0.54,0.08,0.92,7
SN2009lf,19.50,0.32,0.14,0.86,6
SN2008ai,nan,0.29,0.09,0.00,4
SN2006X,17.00,1.04,0.06,0.94,12
SN2009Y,24.90,3.02,0.70,0.30,11
SN2008hm,19.20,0.74,0.00,1.00,9
SN2008Z,21.10,1.69,0.12,0.88,8
SN2010ai,15.80,1.54,0.00,1.00,6
SN2007cc,nan,nan,0.00,0.00,0
SN2008C,27.60,4.80,0.00,0.98,5
SN2008bi,37.60,1.21,0.00,0.91,6
SN2008bf,22.00,0.60,0.37,0.63,9
SN2009do,22.00,2.55,0.00,0.97,8
SN2002dj,nan,nan,0.00,0.00,0
SN2006lf,16.30,0.27,0.00,1.00,9
SN2003cg,21.00,0.22,1.00,0.00,5
SN2009bv,15.30,0.31,1.00,0.00,6
SN2010ag,22.60,0.77,0.04,0.96,7
SN2002cr,22.70,0.46,0.00,1.00,4
SN2006az,16.40,6.75,0.37,0.63,18
SN2008by,nan,1.14,0.00,0.57,2
SN2001fh,34.90,0.46,0.99,0.01,2
SN2009al,19.20,1.23,0.00,1.00,8
SN2006ax,15.40,2.16,0.12,0.88,9
SN2009jr,22.00,0.86,0.87,0.13,8
SN2005hk,37.10,6.61,0.00,0.91,5
SN2002hu,19.50,0.50,0.10,0.90,4
SN2007hj,nan,9.17,0.00,0.95,8
SN2008fr,23.40,0.45,0.07,0.93,10
SN2008bw,38.50,0.86,0.00,0.73,5
SN2010A,nan,0.09,0.00,0.14,2
SN2008ae,21.10,7.53,0.30,0.70,9
SN2005hc,21.90,4.70,0.45,0.55,9
SN2007fb,17.70,0.37,0.00,1.00,4
SN2008cf,nan,0.48,0.05,0.41,3
SN2005cf,nan,0.57,0.00,0.24,3
SN2008cm,17.80,0.45,0.77,0.23,7
SN2003du,19.50,1.54,0.00,1.00,13
SN2002bo,16.40,0.72,0.54,0.46,7
SN2006sr,20.90,0.24,0.00,1.00,2
SN2007cn,nan,0.55,0.00,0.09,5
SN2007ux,nan,4.50,0.00,0.19,12
SN2009kk,19.90,0.38,0.00,1.00,7
SN2007sw,23.60,4.50,0.26,0.74,11
SN2005el,16.50,0.45,0.10,0.90,24
SN2005mc,32.00,2.64,0.71,0.29,4
SN2007bj,16.00,0.71,0.48,0.52,10
SN2006S,24.30,1.85,0.00,1.00,11
SN2005iq,17.70,0.45,0.00,1.00,2
SN2006ou,nan,5.08,0.00,0.13,5
SN2007cs,nan,nan,0.00,0.00,2
SN2007kh,nan,nan,0.00,0.00,2
SN2005kc,19.20,0.51,1.00,0.00,4
SN2001fe,nan,0.65,0.00,0.32,5
SN2009ds,23.90,0.40,0.05,0.95,5
SN2007le,20.70,1.38,0.04,0.96,7
SN2002dp,nan,nan,0.00,0.00,0
SN2010Y,19.10,0.10,0.00,1.00,8
SN2006gj,15.20,4.59,0.28,0.66,5
SN2006cp,nan,0.72,0.00,0.34,4
SN2005ki,18.60,0.68,0.05,0.95,5
SN2008hs,14.60,0.50,0.00,1.00,8
SN2009an,16.80,1.30,0.00,1.00,8
SN2007ev,nan,1.50,0.13,0.20,4
SN2006le,20.40,0.30,0.24,0.76,12
SN2007cf,22.10,2.65,0.00,0.93,6
SN2002fk,18.10,1.21,0.00,1.00,6
SN2007hu,nan,1.33,0.16,0.10,4
SN2008Y,31.90,5.96,0.00,0.78,7
SN2005lz,27.80,4.83,0.00,1.00,5
SN2008bz,nan,0.45,0.00,0.21,2
SN2009D,19.40,0.51,0.00,1.00,7
SN2007nq,14.00,4.89,0.02,0.98,6
SN2007kk,23.30,1.65,0.00,1.00,13
SN2010dw,24.80,0.42,0.00,1.00,3
SN2007kg,nan,1.48,0.00,0.08,3
SN2008hv,14.90,3.47,0.02,0.98,4
SN2008A,35.10,1.36,0.00,0.99,3
SN2008ac,24.40,0.72,0.27,0.37,3
SN2006ob,15.40,1.58,0.00,1.00,8
SN2007hg,nan,0.00,0.00,0.01,10
SN2009kq,22.60,0.66,0.00,1.00,4
SN2005eq,22.40,2.33,0.00,1.00,15
SN2001ep,24.40,0.21,0.00,1.00,5
SN2004as,22.50,2.09,0.00,1.00,2
SN2005am,15.30,0.29,0.20,0.80,11
SN2009dc,23.60,2.92,0.00,1.00,15
SN2005ke,18.40,1.06,0.73,0.27,8
SN2007co,17.80,1.76,0.31,0.69,11
SN2007if,22.10,1.38,0.00,0.48,6
SN2005mz,33.50,5.49,0.68,0.32,8
