#name,t_bump,t_bump_err,prob_bump,prob_shoulder,n_points
SN2005iq,17.30,0.10,0.00,1.00,5
SN2007N,38.40,2.91,0.80,0.20,6
SN2005mc,18.30,1.20,0.00,1.00,11
SN2005al,18.90,1.69,0.18,0.82,18
SN2005el,16.20,0.27,0.01,0.99,9
SN2007nq,13.60,0.12,0.00,1.00,7
SN2004eo,17.90,1.53,0.00,1.00,16
SN2006py,19.00,0.09,0.00,0.87,2
SN2006hx,17.10,0.55,0.00,0.97,4
SN2006br,22.70,0.84,0.35,0.65,7
SN2006ev,13.60,1.34,0.00,1.00,7
SN2005eq,28.50,3.80,0.00,1.00,7
SN2006bh,16.80,0.45,0.00,1.00,10
SN2006lu,25.90,1.21,0.00,1.00,6
SN2005ke,17.40,9.10,0.00,0.95,9
SN2005be,19.70,0.50,0.00,1.00,10
SN2004gc,16.20,0.93,0.00,1.00,11
SN2008R,15.70,0.07,0.00,1.00,8
SN2007on,13.20,8.20,0.00,1.00,11
SN2006D,14.20,0.11,0.00,1.00,12
SN2007as,18.90,0.62,0.51,0.49,6
SN2006os,18.50,0.54,0.00,1.00,6
SN2006mr,19.70,7.67,0.00,0.86,9
SN2006kf,14.70,0.29,0.00,1.00,7
SN2007A,19.60,0.08,0.00,1.00,2
SN2007le,19.30,0.74,0.00,1.00,6
SN2006hb,37.80,9.55,0.00,0.96,7
SN2005kc,20.60,1.01,0.00,1.00,3
SN2005am,14.60,0.27,0.29,0.71,21
SN2006ef,37.00,0.26,0.00,0.90,5
SN2009dc,20.50,1.17,0.00,0.90,5
SN2006gj,35.50,4.59,0.31,0.69,5
SN2005W,16.60,1.57,0.01,0.99,3
SN2008bq,22.40,0.33,0.00,1.00,6
SN2005M,18.40,0.54,0.00,1.00,17
SN2007jh,33.40,5.59,0.86,0.14,5
SN2004ef,15.50,0.39,0.00,1.00,16
SN2005bg,21.90,0.38,1.00,0.00,5
SN2008bc,18.20,2.59,0.47,0.53,11
SN2005A,18.20,0.76,0.69,0.31,18
SN2006ax,20.90,3.28,0.00,1.00,7
SN2005hc,21.80,1.36,0.00,1.00,7
SN2008hv,16.40,1.79,0.01,0.99,11
SN2006ob,15.20,0.39,0.00,1.00,5
SN2007ai,22.70,1.56,0.00,1.00,6
SN2005lu,24.00,0.77,0.01,0.99,6
SN2007bc,24.60,0.12,0.00,1.00,5
SN2005ku,nan,5.51,0.00,0.27,3
SN2005ag,18.10,4.50,0.00,1.00,12
SN2007af,18.50,0.40,0.00,1.00,9
SN2008fp,17.60,2.32,0.34,0.66,10
SN2004ey,20.60,0.20,0.00,1.00,11
SN2006ej,18.80,0.10,0.00,1.00,5
SN2007bm,18.30,0.79,0.00,1.00,5
SN2008C,19.90,0.27,1.00,0.00,6
SN2005ki,15.80,0.41,0.81,0.19,9
SN2005ir,13.30,4.06,0.24,0.76,3
SN2006eq,nan,7.06,0.00,0.41,9
SN2006X,19.50,0.93,0.04,0.96,9
SN2009F,14.00,0.05,0.00,1.00,7
SN2005bo,nan,nan,0.00,0.00,1
SN2005hj,26.10,0.57,0.00,1.00,5
SN2007mm,14.10,1.35,0.00,0.99,3
SN2004gs,16.40,5.32,0.07,0.93,17
SN2007ax,33.80,0.41,0.00,1.00,4
SN2006is,22.40,0.62,0.00,0.96,5
SN2007jg,20.00,0.84,0.01,0.99,8
SN2008gp,22.80,3.28,0.00,1.00,10
SN2007if,nan,8.01,0.00,0.06,6
SN2007S,21.80,0.94,0.00,1.00,7
