#name Lmax e_Lmax
SN2004eo 1.08481865499e+43 1.35827156412e+42
SN2004ey 1.26994765516e+43 2.10060818956e+42
SN2005am 1.51079005444e+43 3.83102532215e+42
SN2005el 1.20074919126e+43 1.76883060448e+42
SN2005eq 1.34854502662e+43 3.25638810276e+42
SN2005hc 1.41524463764e+43 3.8951198297e+42
SN2005iq 1.15163043391e+43 3.25500754949e+42
SN2005kc 1.34789970705e+43 2.32872119525e+42
SN2005ke 3.05139631485e+42 3.65213714326e+41
SN2005ki 1.19493090601e+43 3.74745928671e+42
SN2005M 1.33272492441e+43 3.59920578193e+42
SN2006ax 1.50868667228e+43 3.77430296092e+42
SN2006bh 1.02813243887e+43 2.90537150632e+42
SN2006D 1.35269200609e+43 3.21929894621e+42
SN2006et 1.6039155943e+43 3.19298839294e+42
SN2006hx 1.39066491388e+43 3.34114191262e+42
SN2006kf 9.65723490378e+42 8.89315468528e+41
SN2006mr 1.16970238384e+42 4.71571028272e+41
SN2007af 1.50719249697e+43 4.31798059703e+42
SN2007ax 1.6646014247e+42 4.87821699985e+41
SN2007ba 7.90632193393e+42 8.49782817783e+41
SN2007bc 1.46780837366e+43 2.93037893837e+42
SN2007bd 1.31147153044e+43 3.10299996051e+42
SN2007ca 1.47896738919e+43 2.83733833684e+42
SN2007jg 9.91474739561e+42 1.44525054383e+42
SN2007le 9.06637052779e+42 2.80176083105e+42
SN2007N 1.68547452834e+42 3.62869375897e+41
SN2007on 5.8296114662e+42 3.09391325155e+41
SN2007S 1.72749554825e+43 3.50273418083e+42
SN2008bc 1.36899519375e+43 1.24840145074e+42
SN2008gp 1.45134453275e+43 1.08420755333e+42
SN2008hv 1.22237667458e+43 3.01455548297e+42
SN2009F 2.17505153886e+42 3.38621505804e+41
