#name,t_bump,t_bump_err,prob_bump,prob_shoulder,n_points
10rgn,32.30,7.32,0.09,0.89,29
16fmb,14.50,0.19,1.00,0.00,5
11cao,nan,0.99,0.00,0.16,4
13aol,23.80,3.70,0.14,0.86,34
13dhp,18.90,5.26,0.00,0.99,22
16aas,28.20,1.73,0.92,0.08,9
12eac,17.30,0.70,0.08,0.92,14
16gdp,20.70,5.12,0.00,0.89,5
13ani,32.80,3.53,0.35,0.65,17
12ecm,nan,nan,0.00,0.00,0
12gmy,nan,0.08,0.00,0.11,3
16hhb,nan,nan,0.00,0.00,0
12fxn,18.40,1.78,0.47,0.53,11
10hpp,31.10,6.15,0.06,0.89,8
10tce,27.60,1.60,0.36,0.64,9
10wof,nan,0.71,0.00,0.14,2
12mew,nan,2.03,0.07,0.77,4
16gsu,nan,1.97,0.00,0.11,2
10sto,15.40,0.27,0.00,0.69,2
10hdn,24.00,2.00,0.05,0.95,10
13ax,23.50,1.60,0.00,1.00,24
10hdm,35.60,0.73,1.00,0.00,30
11htb,25.60,0.84,0.82,0.18,8
16hun,15.10,1.17,0.04,0.93,6
10kzf,20.40,5.74,0.22,0.78,8
11dec,22.30,1.25,0.25,0.75,22
16gsp,24.10,1.90,0.00,0.83,3
16afx,nan,nan,0.00,0.00,0
12cjg,21.40,1.86,0.01,0.99,6
10urn,17.40,7.31,0.51,0.49,8
10uzi,20.00,0.92,1.00,0.00,26
12gmf,nan,0.94,0.00,0.19,20
13ez,17.80,0.99,0.00,1.00,28
11blu,21.70,1.95,0.00,1.00,25
14yl,25.50,6.37,0.06,0.94,9
12gmq,21.90,1.06,0.80,0.20,12
16epx,nan,nan,0.00,0.00,0
14bpo,nan,nan,0.00,0.00,0
11dzm,26.20,3.09,0.31,0.69,21
16hmz,nan,0.11,0.00,0.15,2
14apu,18.10,0.44,0.00,1.00,8
11kml,25.70,4.97,0.13,0.87,11
09alu,16.40,4.99,0.71,0.29,16
10vhz,nan,nan,0.00,0.00,0
16dp,37.60,6.35,0.38,0.61,17
10tfs,28.30,2.60,0.88,0.12,21
10hcu,22.70,1.70,0.76,0.24,23
12lie,nan,0.50,0.00,0.09,1
13apn,28.70,2.68,0.21,0.79,40
10tqy,17.40,1.40,0.30,0.70,4
11bok,35.20,7.74,1.00,0.00,30
