#name, rflam
1.503e+00_9.094e-01_5.516e-01_3.303e-01_2.757e-02_1.160e+02.h5, 0.415720
2.361e+00_1.185e+00_1.021e+00_1.576e-01_6.499e-03_1.340e+02.h5, 0.516957
1.721e+00_1.479e+00_1.310e+00_1.351e-01_3.311e-02_2.220e+02.h5, 0.658407
1.014e+00_1.318e+00_5.983e-01_6.279e-01_9.174e-02_3.100e+01.h5, 0.625406
6.134e-01_7.384e-01_3.859e-01_3.285e-01_2.395e-02_1.500e+01.h5, 0.499473
2.598e+00_1.396e+00_3.315e-01_1.048e+00_1.698e-02_1.260e+02.h5, 0.470415
7.237e-01_7.104e-01_5.766e-01_1.122e-01_2.166e-02_8.200e+01.h5, 0.480400
1.552e+00_9.581e-01_5.562e-01_3.710e-01_3.091e-02_1.550e+02.h5, 0.438926
1.544e+00_9.035e-01_8.002e-01_8.711e-02_1.614e-02_2.600e+01.h5, 0.490736
2.004e+00_1.201e+00_5.468e-01_6.320e-01_2.197e-02_9.100e+01.h5, 0.451207
2.171e+00_1.425e+00_7.688e-01_6.361e-01_1.997e-02_2.800e+01.h5, 0.525411
2.047e+00_1.269e+00_1.118e+00_6.310e-02_8.754e-02_5.200e+01.h5, 0.583679
1.396e+00_1.677e+00_1.074e+00_5.573e-01_4.628e-02_2.280e+02.h5, 0.669261
1.598e+00_1.274e+00_4.684e-01_7.303e-01_7.527e-02_9.300e+01.h5, 0.540006
6.966e-01_9.263e-01_2.360e-01_6.310e-01_5.924e-02_2.190e+02.h5, 0.560784
1.028e+00_1.029e+00_7.405e-01_2.236e-01_6.485e-02_2.300e+01.h5, 0.533876
2.457e+00_1.495e+00_1.815e-01_1.215e+00_9.804e-02_7.000e+01.h5, 0.491954
1.559e+00_1.091e+00_8.287e-01_2.183e-01_4.419e-02_5.200e+01.h5, 0.489023
1.968e+00_1.496e+00_1.023e+00_4.013e-01_7.200e-02_1.380e+02.h5, 0.563916
1.352e+00_1.315e+00_1.062e+00_2.148e-01_3.811e-02_5.200e+01.h5, 0.615881
1.855e+00_1.567e+00_6.329e-01_8.425e-01_9.125e-02_2.250e+02.h5, 0.567334
2.398e+00_1.346e+00_4.253e-01_8.597e-01_6.138e-02_1.600e+01.h5, 0.483950
1.205e+00_9.877e-01_6.616e-01_2.718e-01_5.425e-02_2.300e+01.h5, 0.519134
1.238e+00_1.160e+00_5.202e-01_5.614e-01_7.885e-02_1.090e+02.h5, 0.533316
1.939e+00_1.238e+00_5.534e-01_6.107e-01_7.434e-02_6.600e+01.h5, 0.475621
1.366e+00_1.496e+00_1.517e-01_1.342e+00_2.940e-03_9.500e+01.h5, 0.654089
1.258e+00_1.324e+00_8.826e-01_3.695e-01_7.215e-02_1.400e+01.h5, 0.618255
9.040e-01_1.029e+00_9.197e-01_9.605e-02_1.307e-02_2.600e+01.h5, 0.642828
1.860e+00_8.750e-01_3.944e-01_4.545e-01_2.619e-02_1.110e+02.h5, 0.322081
1.075e+00_1.594e+00_1.199e+00_3.130e-01_8.159e-02_2.100e+01.h5, 0.700151
1.444e+00_1.321e+00_5.786e-01_7.155e-01_2.661e-02_4.200e+01.h5, 0.574436
2.628e+00_1.283e+00_9.110e-01_3.140e-01_5.779e-02_1.170e+02.h5, 0.473670
8.725e-01_1.091e+00_9.767e-01_1.095e-01_5.102e-03_2.900e+01.h5, 0.652765
1.490e+00_1.371e+00_5.594e-01_7.693e-01_4.225e-02_1.100e+01.h5, 0.589073
2.254e+00_1.170e+00_7.738e-01_3.849e-01_1.122e-02_2.900e+01.h5, 0.444771
1.978e+00_1.272e+00_1.711e-01_1.062e+00_3.824e-02_1.270e+02.h5, 0.454634
1.546e+00_1.034e+00_2.726e-01_7.121e-01_4.901e-02_1.300e+01.h5, 0.439338
2.359e+00_1.234e+00_9.167e-01_2.569e-01_5.999e-02_2.710e+02.h5, 0.487899
7.295e-01_9.741e-01_6.760e-01_2.452e-01_5.284e-02_2.100e+01.h5, 0.584767
5.493e-01_7.380e-01_3.504e-01_3.647e-01_2.287e-02_1.700e+01.h5, 0.534447
7.296e-01_8.686e-01_5.368e-01_3.049e-01_2.682e-02_9.000e+01.h5, 0.540974
3.905e+00_2.196e+00_6.753e-01_1.393e+00_1.281e-01_1.200e+01.h5, 0.546651
1.012e+00_7.236e-01_4.066e-01_3.081e-01_8.885e-03_2.400e+01.h5, 0.397589
1.809e+00_1.174e+00_7.911e-01_3.326e-01_5.076e-02_1.100e+01.h5, 0.498096
1.471e+00_8.524e-01_5.706e-01_2.279e-01_5.395e-02_5.300e+01.h5, 0.405599
1.285e+00_1.214e+00_6.973e-01_5.136e-01_2.957e-03_4.200e+01.h5, 0.548094
3.725e+00_2.250e+00_1.238e+00_8.669e-01_1.453e-01_6.600e+01.h5, 0.594742
1.076e+00_1.247e+00_1.119e+00_1.254e-01_2.244e-03_2.400e+01.h5, 0.680764
1.973e+00_1.592e+00_2.485e-01_1.276e+00_6.823e-02_2.000e+01.h5, 0.565557
2.460e+00_2.435e+00_1.104e+00_1.305e+00_2.588e-02_6.600e+01.h5, 0.692547
6.776e-01_9.378e-01_5.754e-01_3.575e-01_4.937e-03_2.300e+01.h5, 0.574353
1.035e+00_8.828e-01_1.454e-01_7.340e-01_3.394e-03_7.100e+01.h5, 0.450667
1.671e+00_1.307e+00_2.374e-01_1.020e+00_4.972e-02_1.000e+01.h5, 0.514695
2.042e+00_1.368e+00_6.773e-01_6.635e-01_2.672e-02_1.100e+01.h5, 0.502419
2.709e+00_1.553e+00_1.236e+00_2.294e-01_8.809e-02_3.000e+01.h5, 0.582748
1.433e+00_1.159e+00_2.298e-01_9.082e-01_2.112e-02_1.800e+01.h5, 0.502039
1.510e+00_9.016e-01_7.239e-01_1.634e-01_1.433e-02_5.800e+01.h5, 0.441508
1.472e+00_7.881e-01_4.050e-01_3.398e-01_4.323e-02_4.200e+01.h5, 0.354054
1.205e+00_8.212e-01_4.472e-01_3.290e-01_4.495e-02_2.600e+01.h5, 0.424528
1.038e+00_9.917e-01_1.725e-01_8.160e-01_3.178e-03_4.100e+01.h5, 0.525306
1.512e+00_9.305e-01_7.956e-01_1.180e-01_1.692e-02_2.250e+02.h5, 0.468349
2.785e+00_1.312e+00_3.945e-01_8.315e-01_8.642e-02_1.210e+02.h5, 0.423030
5.883e-01_7.911e-01_2.441e-01_5.054e-01_4.149e-02_2.450e+02.h5, 0.507366
1.769e+00_8.630e-01_2.346e-01_6.148e-01_1.355e-02_2.000e+01.h5, 0.317291
1.539e+00_1.526e+00_2.277e-01_1.282e+00_1.571e-02_5.600e+01.h5, 0.633562
2.542e+00_1.463e+00_8.649e-01_5.059e-01_9.173e-02_2.300e+01.h5, 0.501023
2.117e+00_1.371e+00_8.289e-01_4.559e-01_8.590e-02_2.700e+01.h5, 0.524585
6.348e-01_8.422e-01_5.849e-01_1.997e-01_5.754e-02_8.600e+01.h5, 0.560214
2.438e+00_1.439e+00_9.382e-01_4.652e-01_3.556e-02_1.600e+01.h5, 0.518283
2.546e+00_1.217e+00_6.093e-01_5.316e-01_7.600e-02_3.900e+01.h5, 0.427673
1.502e+00_1.257e+00_1.424e-01_1.092e+00_2.193e-02_1.010e+02.h5, 0.510669
2.239e+00_1.230e+00_9.672e-01_1.797e-01_8.277e-02_1.300e+01.h5, 0.511259
2.020e+00_1.580e+00_7.285e-01_7.677e-01_8.341e-02_1.100e+01.h5, 0.571432
1.662e+00_8.806e-01_3.306e-01_5.001e-01_4.995e-02_2.120e+02.h5, 0.369242
1.550e+00_1.048e+00_2.228e-01_8.097e-01_1.599e-02_1.710e+02.h5, 0.428487
