#name	Lmax	e_Lmax	Tmax		t0.  e_t0	coefficient	e_coeff
SN2004eo 1.0848 0.1358 53277.6493154 36.6655 0.0802 2.45162114071 0.304001797317
SN2004ey 1.2699 0.2101 53303.5828702 34.8975 0.0284 2.15402010001 0.237981108613
SN2005el 1.2007 0.1769 53646.0201048 29.4895 0.0517 2.4016131219 0.290999748889
SN2005ke 0.3051 0.0365 53699.6674136 31.3489 0.0548 2.74179750976 0.36399532199
SN2005ki 1.1949 0.3747 53703.7300154 30.6891 0.0613 2.35393569162 0.277911358668
SN2005M 1.3327 0.3599 53405.2264951 38.2209 0.1411 2.12372186405 0.229973600494
SN2006ax 1.5087 0.3774 53825.8762654 35.8279 0.0738 2.18036373161 0.245028036666
SN2006D 1.3527 0.3219 53756.5005385 29.8909 0.0486 2.46413251759 0.306707428602
SN2006et 1.6039 0.3193 53992.7374082 38.3934 0.0918 2.11914896645 0.225706095839
SN2006kf 0.9657 0.0889 54040.2231777 28.9012 0.0587 2.61305292605 0.335684823333
SN2006mr 0.117 0.0472 54052.1451869 26.2137 0.0234 2.78941668783 0.376736840179
SN2007af 1.5072 0.4318 54173.0895703 34.4224 0.0766 2.28270836163 0.264625542546
SN2007ax 0.1665 0.0488 54188.9974618 27.8355 0.0396 2.85805231952 0.385550254938
SN2007bc 1.4678 0.293 54199.6048948 28.7434 0.046 2.58549550265 0.32899137522
SN2007bd 1.3115 0.3103 54205.2678589 31.5881 0.0021 2.23931062096 0.256571360563
SN2007le 0.9066 0.2802 54398.4089134 37.5743 0.0803 2.16403075941 0.244021966623
SN2007on 0.583 0.0309 54420.8737084 29.0764 0.0589 2.83984599518 0.392689795148
SN2007S 1.7275 0.3503 54142.9372664 40.1609 0.0925 2.05167790336 0.216477710465
SN2008bc 1.369 0.1248 54548.1645973 36.7482 0.052 2.09493081255 0.221958072869
SN2008hv 1.2224 0.3015 54815.8861284 30.8722 0.0686 2.3355257354 0.273761898878
SN2008ia 1.3172 0.1393 54812.0280842 29.1072 0.2377 2.36259119006 0.28556646828
